TIME 	 VAUXP[1] 	 VAUXN[1] 
82268028 0.5 0
82270108 0.5 0
82272188 0.5 0
82274268 0.5 0
82276348 0.5 0
82278428 0.5 0
82280508 0.5 0
82282588 0.5 0
82284668 0.5 0
82286748 0.5 0
82288828 0.5 0
82290908 0.5 0
82292988 0.5 0
82295068 0.5 0
82297148 0.5 0
82299228 0.5 0
82301308 0.5 0
82303388 0.5 0
82305468 0.5 0
82307548 0.5 0
82309628 0.5 0
82311708 0.5 0
82313788 0.5 0
82315868 0.5 0
82317948 0.5 0
82320028 0.5 0
82322108 0.5 0
82324188 0.5 0
82326268 0.5 0
82328348 0.5 0
82330428 0.5 0
82332508 0.5 0
82334588 0.5 0
82336668 0.5 0
82338748 0.5 0
82340828 0.5 0
82342908 0.5 0
82344988 0.5 0
82347068 0.5 0
82349148 0.5 0
82351228 0.5 0
82353308 0.5 0
82355388 0.5 0
82357468 0.5 0
82359548 0.5 0
82361628 0.5 0
82363708 0.5 0
82365788 0.5 0
82367868 0.5 0
82369948 0.5 0
82372028 0.5 0
82374108 0.5 0
82376188 0.5 0
82378268 0.5 0
82380348 0.5 0
82382428 0.5 0
82384508 0.5 0
82386588 0.5 0
82388668 0.5 0
82390748 0.5 0
82392828 0.5 0
82394908 0.5 0
82396988 0.5 0
82399068 0.5 0
82401148 0.5 0
82403228 0.5 0
82405308 0.5 0
82407388 0.5 0
82409468 0.5 0
82411548 0.5 0
82413628 0.5 0
82415708 0.5 0
82417788 0.5 0
82419868 0.5 0
82421948 0.5 0
82424028 0.5 0
82426108 0.5 0
82428188 0.5 0
82430268 0.5 0
82432348 0.5 0
82434428 0.5 0
82436508 0.5 0
82438588 0.5 0
82440668 0.5 0
82442748 0.5 0
82444828 0.5 0
82446908 0.5 0
82448988 0.5 0
82451068 0.5 0
82453148 0.5 0
82455228 0.5 0
82457308 0.5 0
82459388 0.5 0
82461468 0.5 0
82463548 0.5 0
82465628 0.5 0
82467708 0.5 0
82469788 0.5 0
82471868 0.5 0
82473948 0.5 0
82476028 0.5 0
82478108 0.5 0
82480188 0.5 0
82482268 0.5 0
82484348 0.5 0
82486428 0.5 0
82488508 0.5 0
82490588 0.5 0
82492668 0.5 0
82494748 0.5 0
82496828 0.5 0
82498908 0.5 0
82500987 0.5 0
82503067 0.5 0
82505147 0.5 0
82507227 0.5 0
82509307 0.5 0
82511387 0.5 0
82513467 0.5 0
82515547 0.5 0
82517627 0.5 0
82519707 0.5 0
82521787 0.5 0
82523867 0.5 0
82525947 0.5 0
82528027 0.5 0
82530107 0.5 0
82532187 0.5 0
82534267 0.5 0
82536347 0.5 0
82538427 0.5 0
82540507 0.5 0
82542587 0.5 0
82544667 0.5 0
82546747 0.5 0
82548827 0.5 0
82550907 0.5 0
82552987 0.5 0
82555067 0.5 0
82557147 0.5 0
82559227 0.5 0
82561307 0.5 0
82563387 0.5 0
82565467 0.5 0
82567547 0.5 0
82569627 0.5 0
82571707 0.5 0
82573787 0.5 0
82575867 0.5 0
82577947 0.5 0
82580027 0.5 0
82582107 0.5 0
82584187 0.5 0
82586267 0.5 0
82588347 0.5 0
82590427 0.5 0
82592507 0.5 0
82594587 0.5 0
82596667 0.5 0
82598747 0.5 0
82600827 0.5 0
82602907 0.5 0
82604987 0.5 0
82607067 0.5 0
82609147 0.5 0
82611227 0.5 0
82613307 0.5 0
82615387 0.5 0
82617467 0.5 0
82619547 0.5 0
82621627 0.5 0
82623707 0.5 0
82625787 0.5 0
82627867 0.5 0
82629947 0.5 0
82632027 0.5 0
82634107 0.5 0
82636187 0.5 0
82638267 0.5 0
82640347 0.5 0
82642427 0.5 0
82644507 0.5 0
82646587 0.5 0
82648667 0.5 0
82650747 0.5 0
82652827 0.5 0
82654907 0.5 0
82656987 0.5 0
82659067 0.5 0
82661147 0.5 0
82663227 0.5 0
